iter	MultiClass
0	1.065264233
1	1.036779133
2	1.014178937
3	0.9849286982
4	0.9596358511
5	0.9357348676
6	0.9167911261
7	0.8970781402
8	0.8736319416
9	0.8545132682
10	0.832318969
11	0.8150745882
12	0.7964949138
13	0.7780542148
14	0.7621448701
15	0.7445441199
16	0.7281001766
17	0.7131196657
18	0.7006659274
19	0.6844187026
20	0.6721494503
21	0.6572252498
22	0.6414805209
23	0.629566078
24	0.6162805737
25	0.6039706224
26	0.5931291804
27	0.5815215839
28	0.5716250308
29	0.5612555565
30	0.5495535173
31	0.5393653088
32	0.5286943172
33	0.5183129734
34	0.5093413391
35	0.5016190841
36	0.4933663035
37	0.4855276423
38	0.4780378969
39	0.4682849926
40	0.4601252375
41	0.4530753085
42	0.4484183675
43	0.4410314907
44	0.4350879328
45	0.4263781579
46	0.4183659368
47	0.41088507
48	0.4039972092
49	0.3969197235
50	0.3913988815
51	0.3854611008
52	0.3802468468
53	0.3745355343
54	0.3678676212
55	0.362495498
56	0.3563014444
57	0.3505949969
58	0.3451841386
59	0.3404040862
60	0.3352593768
61	0.3303621439
62	0.3251534573
63	0.3197050115
64	0.3154347791
65	0.3104951007
66	0.3060279268
67	0.3022563354
68	0.2972291116
69	0.2927596325
70	0.2890238968
71	0.2852049574
72	0.2812887582
73	0.2780162988
74	0.2725825528
75	0.2690598946
76	0.2651843446
77	0.2616489219
78	0.2585322678
79	0.2554478085
80	0.252874701
81	0.2497195137
82	0.2467189906
83	0.2431681465
84	0.2401479678
85	0.236895589
86	0.2341577827
87	0.2315894011
88	0.2290893867
89	0.2274431021
90	0.2246064489
91	0.2219003626
92	0.2182819634
93	0.2159075027
94	0.21281983
95	0.2107215456
96	0.2077976871
97	0.2055679424
98	0.2032453464
99	0.2011916285
