iter	Passed	Remaining
0	3	311
1	3	174
2	4	149
3	5	120
4	5	101
5	5	90
6	6	80
7	6	73
8	6	68
9	7	65
10	7	63
11	8	60
12	8	57
13	9	56
14	9	54
15	9	52
16	10	50
17	10	48
18	11	46
19	11	45
20	11	44
21	12	42
22	12	41
23	12	40
24	14	42
25	14	42
26	15	42
27	15	41
28	16	40
29	16	39
30	17	39
31	18	39
32	19	40
33	20	39
34	20	38
35	21	37
36	21	37
37	22	36
38	29	45
39	29	44
40	31	45
41	32	45
42	34	45
43	35	44
44	35	43
45	36	42
46	36	41
47	37	40
48	38	39
49	38	38
50	39	37
51	40	36
52	40	36
53	41	35
54	42	34
55	42	33
56	43	32
57	44	32
58	44	31
59	45	30
60	46	29
61	47	28
62	47	27
63	48	27
64	49	26
65	49	25
66	50	24
67	50	23
68	51	23
69	52	22
70	54	22
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	57	17
77	58	16
78	60	16
79	61	15
80	61	14
81	62	13
82	64	13
83	64	12
84	65	11
85	66	10
86	66	9
87	67	9
88	69	8
89	69	7
90	70	6
91	70	6
92	71	5
93	72	4
94	73	3
95	74	3
96	75	2
97	76	1
98	76	0
99	77	0
